fecha,precio_arabica_brasil_usd_kg,precio_robusta_usd_kg,precio_arabica_wb_usd_kg,precio_robusta_wb_usd_kg,trm_cop_usd,precio_fnc_cop_kg,surge_flag,precio_arabica_brasil_cop_kg
2015-06-01,3.5219977424645936,1.98956330799485,3.522100912,1.98966955,2603.0,,0,9167.760123635337
2015-07-01,3.4049657343853155,1.920687965511239,3.40503559,1.920664944,2879.0,,0,9802.896349295323
2015-08-01,3.4595701276330555,1.8910533401529717,3.459489704,1.891123036,3030.89990234375,,0,10485.610761994383
2015-09-01,3.2219884429579486,1.7966586712287695,3.22205213,1.7967653,3087.0,,0,9946.278323411187
2015-10-01,3.3785969449517297,1.8249680529879475,3.37858015,1.824984436,2941.176513671875,,0,9937.049983655575
2015-11-01,3.2623717223533792,1.802080997481269,3.262396676,1.802056388,3144.0,,0,10256.896695079024
2015-12-01,3.2763402774529427,1.7477112164389064,3.277388092,1.747822736,3138.0,,0,10281.155790647334
2016-01-01,3.2062902763885144,1.6518305941399825,3.197360386,1.647071602,3333.333251953125,,0,10687.63399369981
2016-02-01,3.256167279342292,1.632335415338643,3.25622374,1.632300648,3297.60009765625,,0,10737.537538344228
2016-03-01,3.475178229506387,1.6684405905479507,3.4722765,1.66669272,2999.0,,0,10422.059510289655
2016-04-01,3.399919289749797,1.7676048708342047,3.399964964,1.767664316,2818.89990234375,,0,9584.032153852335
2016-05-01,3.421456847884123,1.8504114230008868,3.421349778,1.850337566,3088.0,,0,10565.458746266171
2016-06-01,3.6476012082945184,1.8946642477260305,3.64754379,1.894650428,2881.60009765625,,0,10510.92799803254
2016-07-01,3.7867468897998533,2.0021454145071846,3.786655312,2.002235884,3125.0,,0,11833.58403062454
2016-08-01,3.693656509546599,2.023548072698161,3.693620348,2.023620698,2893.800048828125,,0,10688.70338768027
2016-09-01,3.8866526425830816,2.135900264394594,3.88674506,2.135835856,2828.699951171875,,0,10994.174140296802
2016-10-01,3.9452908802456412,2.2850197240398136,3.945387952,2.28508863,2938.199951171875,,0,11592.053471696587
2016-11-01,4.059054272241453,2.28661640657443,4.059146344,2.286631864,3072.75,,0,12472.459015029925
2016-12-01,3.566661429013499,2.245510182158096,3.566634236,2.24540547,3000.25,,0,10700.87595239775
2017-01-01,3.717277360992419,2.388049171943068,3.717209782,2.388044384,2915.0,,0,10835.863507292901
2017-02-01,3.6674147692199157,2.3477045450537046,3.66738537,2.347699838,2918.10009765625,,0,10701.88339620661
2017-03-01,3.530715594247886,2.353091496897807,3.53069893,2.352990926,2846.89990234375,,0,10051.59388046786
2017-04-01,3.42982239545671,2.2875293215047883,3.42597948,2.283545396,2940.139892578125,,0,10084.157649340139
2017-05-01,3.306936630275666,2.1684494090456314,3.30693,2.168464232,2916.0,,0,9643.027213883843
2017-06-01,3.1575232207077573,2.2471536294531407,3.157456764,2.24761009,3042.280029296875,,0,9606.069836400358
2017-07-01,3.302590370704446,2.3134908736947564,3.299434292,2.313528228,2983.25,,0,9852.45272340404
2017-08-01,3.3042335690300493,2.3041967613875554,3.304284456,2.304268824,2948.679931640625,,0,9743.127214452184
2017-09-01,3.2311080484328696,2.1866409838419925,3.231091072,2.186542116,3030.302978515625,,0,9791.236343071932
2017-10-01,3.1021170006205026,2.169160030079094,3.102120802,2.169125618,3040.050048828125,,0,9430.590939206915
2017-11-01,3.106405997219768,2.0134333778533855,3.10630958,2.013479446,2950.699951171875,,0,9166.07202431639
2017-12-01,3.0270858056621477,1.9304741244281622,3.029588804,1.931026658,3014.27001953125,,0,9124.453990556012
2018-01-01,3.061696126839135,1.9534601867834491,3.060233022,1.95439563,2828.0,6111.225806451613,0,8658.476646701074
