Cod_Dpto,Departamento,Cod_Mpio,Municipio,Grupo_cultivo,Subgrupo,Cultivo,Desagregacion,Anio,Periodo,Area_sembrada,Area_cosechada,Produccion,Rendimiento,Ciclo,Estado_fisico,Cod_cultivo,Nombre_cientifico
5,Antioquia,5042,Santa Fé de Antioquia,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2022,2022,1891.38,1676.28,1832.46,1.09,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5042,Santa Fé de Antioquia,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2023,2023,1913.57,1779.37,1795.85,1.01,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5042,Santa Fé de Antioquia,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2024,2024,1919.52,1699.4,2124.42,1.25,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5044,Anzá,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2019,2019,1986.0,1665.0,2148.0,1.29,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5044,Anzá,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2020,2020,1991.0,1789.0,2134.0,1.19,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5044,Anzá,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2021,2021,2012.01,1857.95,1950.85,1.05,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5044,Anzá,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2022,2022,2026.67,1841.43,1215.32,0.66,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5044,Anzá,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2023,2023,2020.42,1780.4,1763.56,0.99,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5044,Anzá,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2024,2024,1969.78,1638.89,2008.21,1.23,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5045,Apartadó,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2024,2024,12.0,0.0,0.0,0.0,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5055,Argelia,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2019,2019,1170.0,1023.0,1288.0,1.26,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5055,Argelia,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2020,2020,1179.0,1110.0,1291.0,1.16,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5055,Argelia,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2021,2021,1129.85,1056.81,1458.4,1.38,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5055,Argelia,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2022,2022,1034.86,914.27,1177.25,1.29,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5055,Argelia,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2023,2023,940.19,818.46,1140.09,1.39,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5055,Argelia,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2024,2024,930.69,815.87,1403.65,1.72,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5059,Armenia,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2019,2019,568.0,548.0,822.0,1.5,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5059,Armenia,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2020,2020,545.0,471.0,582.0,1.24,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5059,Armenia,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2021,2021,521.87,426.92,478.15,1.12,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5059,Armenia,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2022,2022,514.2,446.59,433.44,0.97,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5059,Armenia,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2023,2023,511.55,454.92,436.17,0.96,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5059,Armenia,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2024,2024,528.2,444.6,528.29,1.19,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5079,Barbosa,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2019,2019,1006.0,884.0,1112.0,1.26,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5079,Barbosa,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2020,2020,968.0,862.0,999.92,1.16,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5079,Barbosa,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2021,2021,911.71,812.45,918.07,1.13,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5079,Barbosa,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2022,2022,881.43,802.6,691.68,0.86,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5079,Barbosa,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2023,2023,797.67,735.06,645.32,0.88,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5079,Barbosa,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2024,2024,775.17,702.08,834.23,1.19,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5088,Bello,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2019,2019,145.0,129.0,166.0,1.29,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5088,Bello,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2020,2020,145.0,134.0,160.0,1.19,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5088,Bello,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2021,2021,145.18,132.99,121.02,0.91,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5088,Bello,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2022,2022,125.15,112.2,104.14,0.93,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5088,Bello,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2023,2023,124.29,115.74,101.78,0.88,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5088,Bello,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2024,2024,115.82,104.05,113.33,1.09,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5091,Betania,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2019,2019,6485.0,4850.0,6488.0,1.34,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5091,Betania,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2020,2020,6485.0,5046.0,6240.0,1.24,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5091,Betania,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2021,2021,6488.92,4907.61,7017.88,1.43,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5091,Betania,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2022,2022,6486.85,4744.25,5746.88,1.21,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5091,Betania,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2023,2023,6561.39,4718.29,7044.82,1.49,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5091,Betania,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2024,2024,6587.53,4583.28,8452.53,1.84,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5093,Betulia,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2019,2019,5847.0,4315.0,5817.0,1.35,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5093,Betulia,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2020,2020,5878.0,4736.0,5903.0,1.25,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5093,Betulia,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2021,2021,5936.14,4773.27,4773.27,1.0,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5093,Betulia,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2022,2022,6074.69,4980.08,3726.98,0.75,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5093,Betulia,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2023,2023,6154.67,5036.73,3197.16,0.63,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5093,Betulia,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2024,2024,6260.63,4791.57,10675.17,2.23,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5101,Ciudad Bolívar,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2019,2019,9939.0,7441.0,9903.0,1.33,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5101,Ciudad Bolívar,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2020,2020,9902.0,7761.0,9545.0,1.23,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5101,Ciudad Bolívar,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2021,2021,9733.55,7365.18,6775.97,0.92,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5101,Ciudad Bolívar,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2022,2022,9405.83,7148.41,7457.83,1.04,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5101,Ciudad Bolívar,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2023,2023,9048.01,7010.66,7909.67,1.13,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5101,Ciudad Bolívar,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2024,2024,8922.05,6586.65,9212.27,1.4,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5107,Briceño,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2019,2019,511.0,402.0,529.0,1.32,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
